name,kind,module_type,output_shape,clean_rms,noisy_rms,residual_rms,residual_to_signal,stochastic_rms,stochastic_to_signal,bias_rms,bias_to_signal,stochastic_fraction_of_mse,clean_abs_mean,clean_abs_p95_mean,clean_abs_p99_mean,residual_abs_p95_mean,clean_abs_gt_5_frac,clean_abs_gt_8_frac,clean_abs_gt_10_frac,clean_numel,noisy_numel,nonfinite_outputs
features.4.2.block.1.0,depthwise,NoisyConv2d,4x480x14x14,0.4188972318887868,0.3533430107538424,0.35343679788777027,0.8437315192896867,0.0651810440503559,0.1556015153321921,0.34737444004656726,0.8292593352318733,0.034010976198575314,0.22491948134234163,0.9203923642635345,1.7656793892383575,0.7403521314263344,2.0594175170068026e-05,0.0,0.0,1505280,6021120,0
features.4.2.block.2.fc1,pointwise,NoisyConv2d,4x20x1x1,2.133658708654191,2.407520647326829,1.8424312854101588,0.8635079630763796,0.42231489723921134,0.19792991987251196,1.7933775868533555,0.8405175483686103,0.05254001638859514,1.868740701675415,3.701948821544647,4.100162088871002,3.130829483270645,0.0,0.0,0.0,320,1280,0
features.4.2.block.2.fc2,pointwise,NoisyConv2d,4x480x1x1,1.651071612771437,1.5004067213934225,0.9008852865239569,0.5456367122754652,0.22953723113713465,0.1390231831021797,0.8711526611319337,0.5276286348777108,0.06491832250689986,1.2573135693868,3.478347897529602,4.210335373878479,1.8496729508042336,0.00013020833333333333,0.0,0.0,7680,30720,0
features.4.2.block.3.0,pointwise,NoisyConv2d,4x80x14x14,0.23723791927096236,0.24442548402698194,0.25032445862941405,1.0551620895962455,0.10644072647943391,0.44866658250303637,0.22656722255136458,0.955021116555106,0.18080443902930432,0.1902322885941486,0.46038541942834854,0.6059890538454056,0.49372116290032864,0.0,0.0,0.0,250880,1003520,0
features.5.0.block.0.0,pointwise,NoisyConv2d,4x480x14x14,7.396586863979531,4.300581261434077,8.235636738712317,1.113437439478857,1.3063571177406028,0.17661620714581228,8.131367878343504,1.0993405509698353,0.025161090925098908,5.7348931760204085,14.829297065734863,20.83288288116455,16.596463918685913,0.4685686383928571,0.25527941645408164,0.16292051977040817,1505280,6021120,0
features.5.0.block.1.0,depthwise,NoisyConv2d,4x480x14x14,1.29289783553244,0.6593976583983605,0.9879547062976611,0.7641398099261281,0.1253235429314006,0.09693228613055105,0.9799737298942351,0.7579668732995157,0.016091304722833225,0.4721394545366975,1.9993755221366882,3.872759461402893,1.6172006130218506,0.004976482780612245,0.00223812181122449,0.002087983630952381,1505280,6021120,0
features.5.0.block.2.fc1,pointwise,NoisyConv2d,4x20x1x1,2.131067947263933,2.5853554061857618,1.5954568735939079,0.7486654170939536,0.38805428260494923,0.18209381033728658,1.5475453173493838,0.7261830010330123,0.059158182479048124,1.8276667594909668,3.6481401324272156,4.551615238189697,3.2098393738269806,0.003125,0.0,0.0,320,1280,0
features.5.0.block.2.fc2,pointwise,NoisyConv2d,4x480x1x1,1.5603048341383114,1.6222207143782368,0.7260563417006987,0.46532980339169944,0.16210138436556562,0.1038908428782041,0.7077294345373583,0.4535840811697584,0.04984628558807893,1.2744787534077961,2.912658929824829,3.859308183193207,1.4562011137604713,0.00078125,0.0,0.0,7680,30720,0
features.5.0.block.3.0,pointwise,NoisyConv2d,4x112x14x14,1.5604716044279012,1.2686495934623305,1.5217409633921573,0.9751801692989195,0.28755745981055314,0.18427599643248696,1.4943246859277246,0.957610943824622,0.0357081881284237,1.2126424361248405,3.0549779534339905,4.484691381454468,3.0416155606508255,0.00576542000728863,0.00018790998542274052,2.2776967930029154e-05,351232,1404928,0
features.5.1.block.0.0,pointwise,NoisyConv2d,4x672x14x14,4.49046152591729,3.5963022515180816,5.647097968290734,1.2575762949304352,0.9281002800993317,0.20668260372406683,5.5703092673165715,1.2404758921030272,0.0270109067265613,3.5008388923370686,8.918867588043213,12.417097330093384,11.184346377849579,0.24683922117954324,0.07476729531098153,0.03081866116982507,2107392,8429568,0
